 Pays	 PIB_const	PPA_imp	Inv_PIB	Epargne_brute	IPC_moy	Imp_BS
Austria	375,323	0,737	23,884	26,493	163,276	-0,648
Belgium	477,256	0,703	24,567	24,243	131,497	-2,853
Croatia	61,889	0,44	21,486	22,955	131,969	1,905
Cyprus	26,545	0,579	20,507	10,372	116,975	1,778
Estonia	28,705	0,603	26,504	23,103	154,621	0,703
Finland	228,944	0,777	21,688	20,532	120,14	-3,105
France	2,596863	0,668	22,255	22,346	123,285	-1,569
Germany	3,615724	0,718	20,614	27,232	128,854	-1,088
Greece	198,928	0,531	22,862	16,343	141,322	2,662
Ireland	491,251	0,744	18,756	30,75	119,76	7
Italy	1,930138	0,606	22,067	23,15	122,472	-0,124
Latvia	29,074	0,511	23,016	19,265	145,338	3
Lithuania	48,306	0,491	19,186	22,001	150,794	1,523
Luxembourg	64,681	0,822	16,27	23,135	125,057	0,055
Malta	15,28	0,555	19,509	20,709	123,208	6,078
Netherlands	942,765	0,766	19,538	29,541	131,833	0,5
Portugal	220,1	0,547	19,54	21,495	121,956	3,69
Slovak Republic	96,105	0,529	20,209	18,521	142,662	5,592
